Unnamed: 0,店舗名,住所,緯度,経度,チェック
241,さいたま土呂店,埼玉県 さいたま市北区 土呂町2-45-15,35.930553,139.634964,0
242,大宮宮原ステラタウン店,埼玉県 さいたま市北区 宮原町1-854-1 ステラタウン,35.932701,139.622437,0
243,ララガーデン川口店,埼玉県 川口市 宮町18-9 ララガーデン川口,35.806213,139.699142,0
244,アリオ川口店,埼玉県 川口市 並木元町1-79 アリオ川口1F,35.806885,139.71582,0
245,イオンモール川口店,埼玉県 川口市 安行領根岸3180 イオンモール川口,35.83806406,139.7244673,0
246,イオンモール川口前川店,埼玉県 川口市 前川1-1-11,35.833347,139.706055,0
247,ビーンズ戸田公園店,埼玉県 戸田市 本町4-15-1 ビーンズ戸田公園,35.808144,139.678482,0
248,イオンモール北戸田店,埼玉県 戸田市 美女木東1-3-1 イオンモール北戸田,35.826706,139.65303,0
249,武蔵浦和ＢＥＡＮＳ店,埼玉県 さいたま市南区 別所7-12-1 武蔵浦和ビーンズ 1F,35.846249,139.646439,0
250,浦和別所店,埼玉県 さいたま市南区 別所3-2-2,35.855087,139.64743,0
251,イオンモール浦和美園店,埼玉県 さいたま市緑区 美園5-50-1 イオンモール浦和美園,35.890839,139.731522,0
252,TSUTAYA ハレノテラス東大宮店,埼玉県 さいたま市見沼区 島町393,35.94556,139.651321,0
253,さいたま大和田店,埼玉県 さいたま市見沼区 大和田町1-1931,35.923885,139.656326,0
254,イオンモール与野店,埼玉県 さいたま市中央区 本町西5-2-9 イオンモール与野,35.889599,139.615906,0
255,さいたま南与野店,埼玉県 さいたま市中央区 鈴谷5-3-18,35.870728,139.62941,0
256,草加ヴァリエ店,埼玉県 草加市 高砂2-5-25 ヴァリエ,35.827061,139.803223,0
257,ららぽーと新三郷店,埼玉県 三郷市 新三郷ららシティ3-1-1 ららぽーと新三郷 2階,35.861301,139.864319,0
258,三郷中央店,埼玉県 三郷市 中央4-11-3,35.832291,139.879272,0
259,三郷イトーヨーカドー店,埼玉県 三郷市 ピアラシティ1-1-1 イトーヨーカドー三郷店,35.842663,139.855316,0
260,越谷レイクタウン アウトレット店,埼玉県 越谷市 レイクタウン4-1-1 レイクタウンアウトレット,35.880707,139.825058,0
261,越谷イオンレイクタウン kaze 2階レイクタウンゲート店,埼玉県 越谷市 レイクタウン4-2-2 イオンレイクタウン kaze　2F,35.877773,139.825058,0
262,越谷イオンレイクタウン kaze 2階カフェプラザ店,埼玉県 越谷市 レイクタウン4-2-2 イオンレイクタウン kaze 2F,35.877773,139.825058,0
263,越谷イオンレイクタウン mori 1階店,埼玉県 越谷市 レイクタウン3-1-1 イオンレイクタウン mori,35.882484,139.828323,0
264,越谷イオンレイクタウン mori ガーデンウォーク店,埼玉県 越谷市 レイクタウン3-1-1 イオンレイクタウン mori,35.882484,139.828323,0
265,越谷イオンレイクタウン mori 3階店,埼玉県 越谷市 レイクタウン3-1-1 イオンレイクタウン mori,35.882484,139.828323,0
